Potential (V),Current (A)
1.217010736,0.113898464
1.219771147,0.114695907
1.223144889,0.115462668
1.225905299,0.116266236
1.22866559,0.117069811
1.231732607,0.117854975
1.237560034,0.11948052
1.241240501,0.120290227
1.243387461,0.121118337
1.247681379,0.121964842
1.249521613,0.122799084
1.252588749,0.12360879
1.255962491,0.1244369
1.258722782,0.125277266
1.260869741,0.126117647
1.264243484,0.126945749
1.267310619,0.12777999
1.27007091,0.128632635
1.273138046,0.129479155
1.276205063,0.130307257
1.279272199,0.131178305
1.281725764,0.132030949
1.285099506,0.13291426
1.288166642,0.133766904
1.290926933,0.134668618
1.293994069,0.135551929
1.297061086,0.136472046
1.299514771,0.137275621
1.303195238,0.138066933
1.305955648,0.138790756
1.309022665,0.139447108
1.311783075,0.139993042
1.314543366,0.14050217
1.317917109,0.140943825
1.320677519,0.141207606
1.324357986,0.141219869
1.327425003,0.140833423
1.330798864,0.139753804
1.334172606,0.137594596
1.337239623,0.134294435
1.340920091,0.130656898
1.345214009,0.126577705
1.348587751,0.121707208
1.35288167,0.117125019
1.356868863,0.111825131
1.360856056,0.107807279
1.364229798,0.104813822
1.368523717,0.101010665
1.371590734,0.099035479
1.374964476,0.096532755
1.377724886,0.094508491
1.381098628,0.093103774
1.383552313,0.089539848
1.380178571,0.086687483
1.378338337,0.084019132
1.375271201,0.081522547
1.372204185,0.077885009
1.3697505,0.075781003
1.365763307,0.077596702
1.364229798,0.072805949
1.360549331,0.075480431
1.358095646,0.072272278
1.352268219,0.071579129
1.349814653,0.070131473
1.346440792,0.068800367
1.34306705,0.066984668
1.340306759,0.068002932
1.336626172,0.072106659
1.33325243,0.072658733
1.330185413,0.071511649
1.327118278,0.072284549
1.324971437,0.07116814
1.322211027,0.065825313
1.316997051,0.077167317
1.314850092,0.073615655
1.31147635,0.074382424
1.308409214,0.072977707
1.305342197,0.07194104
1.302275062,0.072867289
1.298594594,0.074179992
1.295527577,0.074781142
1.293073893,0.073063582
1.290620327,0.071076125
1.286939859,0.073591121
1.283565998,0.072566718
1.281112432,0.071842894
1.278045297,0.071689539
1.273751378,0.073492974
1.271604538,0.071039319
1.267923951,0.072536051
1.265470386,0.069763422
1.262096643,0.069775693
1.259029508,0.071671136
1.256269217,0.070609935
1.253202081,0.068923049
1.250135064,0.06592346
1.247067928,0.068947583
1.244307637,0.068597943
1.241547227,0.066960126
1.23848021,0.065647423
1.235106468,0.066806778
1.232039332,0.066119753
1.228972316,0.064708903
1.225905299,0.064788647
1.223451614,0.063291922
1.220691204,0.06268464
1.217010736,0.062451545
1.214557052,0.061144978
1.211490035,0.059341542
1.208423018,0.059317008
1.205969334,0.058470495
1.202595592,0.058016572
1.199528456,0.057022844
1.196461439,0.055980042
1.193701029,0.054955643
1.191247463,0.053900573
1.187873602,0.053164478
1.18449986,0.052330237
1.178979158,0.050115816
1.176218867,0.049195696
1.172845006,0.048330784
1.170698047,0.047116227
1.16763103,0.045901671
1.164870739,0.044871137
1.161190152,0.043859005
1.158123136,0.042583108
1.155669451,0.041380819
1.15290916,0.040049713
1.150148749,0.038491644
1.146468282,0.037405904
1.144014597,0.036755688
1.141561031,0.035602473
1.13818717,0.03449833
1.134813428,0.033529136
1.132666469,0.032676492
